SALE_DATE,CATEGORY,SUBCATEGORY,SALES
1995-01-01,PRO EDITION,PRO ADMIN,14.545671343
1995-01-01,PRO EDITION,PRO DEVELOPER,24.242785571
1995-01-01,PRO EDITION,PRO CONSUMER,9.697114228
1995-01-01,ENTERPRISE,ENTERPRISE ADMIN,15.210961924
1995-01-01,ENTERPRISE,ENTERPRISE DEVELOPER,20.281282565
1995-01-01,ENTERPRISE,ENTERPRISE COLLABORATOR,10.140641283
1995-01-01,ENTERPRISE,ENTERPRISE CONSUMER,5.070320641
1995-01-02,PRO EDITION,PRO ADMIN,25.736873747
1995-01-02,PRO EDITION,PRO DEVELOPER,42.894789579
1995-01-02,PRO EDITION,PRO CONSUMER,17.157915832
1995-01-02,ENTERPRISE,ENTERPRISE ADMIN,26.914028056
1995-01-02,ENTERPRISE,ENTERPRISE DEVELOPER,35.885370741
1995-01-02,ENTERPRISE,ENTERPRISE COLLABORATOR,17.942685371
1995-01-02,ENTERPRISE,ENTERPRISE CONSUMER,8.971342685
1995-01-03,PRO EDITION,PRO ADMIN,0.6651102204
1995-01-03,PRO EDITION,PRO DEVELOPER,1.108517034
1995-01-03,PRO EDITION,PRO CONSUMER,0.4434068136
1995-01-03,ENTERPRISE,ENTERPRISE ADMIN,0.6955310621
1995-01-03,ENTERPRISE,ENTERPRISE DEVELOPER,0.9273747495
1995-01-03,ENTERPRISE,ENTERPRISE COLLABORATOR,0.4636873747
1995-01-03,ENTERPRISE,ENTERPRISE CONSUMER,0.2318436874
1995-01-04,PRO EDITION,PRO ADMIN,4.829278557
1995-01-04,PRO EDITION,PRO DEVELOPER,8.048797595
1995-01-04,PRO EDITION,PRO CONSUMER,3.219519038
1995-01-04,ENTERPRISE,ENTERPRISE ADMIN,5.050160321
1995-01-04,ENTERPRISE,ENTERPRISE DEVELOPER,6.733547094
1995-01-04,ENTERPRISE,ENTERPRISE COLLABORATOR,3.366773547
1995-01-04,ENTERPRISE,ENTERPRISE CONSUMER,1.683386774
1995-01-05,PRO EDITION,PRO ADMIN,19.085771543
1995-01-05,PRO EDITION,PRO DEVELOPER,31.809619238
1995-01-05,PRO EDITION,PRO CONSUMER,12.723847695
1995-01-05,ENTERPRISE,ENTERPRISE ADMIN,19.958717435
1995-01-05,ENTERPRISE,ENTERPRISE DEVELOPER,26.611623246
1995-01-05,ENTERPRISE,ENTERPRISE COLLABORATOR,13.305811623
1995-01-05,ENTERPRISE,ENTERPRISE CONSUMER,6.652905812
1995-01-06,PRO EDITION,PRO ADMIN,1.474809619
1995-01-06,PRO EDITION,PRO DEVELOPER,2.458016032
1995-01-06,PRO EDITION,PRO CONSUMER,0.9832064128
1995-01-06,ENTERPRISE,ENTERPRISE ADMIN,1.542264529
1995-01-06,ENTERPRISE,ENTERPRISE DEVELOPER,2.056352705
1995-01-06,ENTERPRISE,ENTERPRISE COLLABORATOR,1.028176353
1995-01-06,ENTERPRISE,ENTERPRISE CONSUMER,0.5140881764
1995-01-07,PRO EDITION,PRO ADMIN,1.156713427
1995-01-07,PRO EDITION,PRO DEVELOPER,1.927855711
1995-01-07,PRO EDITION,PRO CONSUMER,0.7711422846
1995-01-07,ENTERPRISE,ENTERPRISE ADMIN,1.209619238
1995-01-07,ENTERPRISE,ENTERPRISE DEVELOPER,1.612825651
1995-01-07,ENTERPRISE,ENTERPRISE COLLABORATOR,0.8064128257
1995-01-07,ENTERPRISE,ENTERPRISE CONSUMER,0.4032064128
1995-01-08,PRO EDITION,PRO ADMIN,18.854428858
1995-01-08,PRO EDITION,PRO DEVELOPER,31.424048096
1995-01-08,PRO EDITION,PRO CONSUMER,12.569619238
1995-01-08,ENTERPRISE,ENTERPRISE ADMIN,19.716793587
1995-01-08,ENTERPRISE,ENTERPRISE DEVELOPER,26.289058116
1995-01-08,ENTERPRISE,ENTERPRISE COLLABORATOR,13.144529058
1995-01-08,ENTERPRISE,ENTERPRISE CONSUMER,6.572264529
1995-01-09,PRO EDITION,PRO ADMIN,15.181863727
1995-01-09,PRO EDITION,PRO DEVELOPER,25.303106212
1995-01-09,PRO EDITION,PRO CONSUMER,10.121242485
1995-01-09,ENTERPRISE,ENTERPRISE ADMIN,15.876252505
1995-01-09,ENTERPRISE,ENTERPRISE DEVELOPER,21.168336673
1995-01-09,ENTERPRISE,ENTERPRISE COLLABORATOR,10.584168337
1995-01-09,ENTERPRISE,ENTERPRISE CONSUMER,5.292084168
